SUBJECT,L1per_lo-hi,L1sem_lo-hi,L2per_lo-hi,L2sem_lo-hi,gender,AoA_L2,age,bestL1,bestL2,interL1,interL2,selfperceptionL1,selfperceptionL2,expoL1,expoL2,ID,region
038LBB,-0.005299999999999999,0.0661,0.22860000000000003,0.2603,1.0,16.0,37.0,77.0,77.0,5.0,5.0,10.0,8.0,68.33,25.0,1092.0,opercularis
039LBB,0.1276,-0.025599999999999984,-0.0013999999999999846,0.2488,2.0,9.0,25.0,77.0,65.0,5.0,4.0,10.0,7.0,95.0,5.0,3046.0,opercularis
040LBB,0.1033,0.044899999999999995,0.2262,0.2513,2.0,9.0,28.0,77.0,54.0,5.0,4.0,10.0,8.0,81.67,13.33,1427.0,opercularis
041LBB,0.0311,0.0886,0.07,0.15360000000000001,2.0,6.0,25.0,77.0,48.0,5.0,4.0,8.0,6.0,67.5,15.0,3096.0,opercularis
043LBB,-0.04819999999999999,-0.1017,0.1566,0.3428,1.0,7.0,21.0,77.0,64.0,5.0,5.0,8.0,8.0,42.5,42.5,3054.0,opercularis
044LBB,-0.1268,-0.1244,0.32999999999999996,0.0233,1.0,6.0,25.0,75.0,55.0,5.0,4.0,9.0,8.0,70.0,30.0,2738.0,opercularis
045LBB,0.010299999999999997,-0.026499999999999996,0.0442,0.10089999999999999,1.0,22.0,42.0,77.0,70.0,5.0,4.0,10.0,7.0,75.0,15.0,1709.0,opercularis
046LBB,0.035199999999999995,0.057800000000000004,0.5315,0.6118,1.0,22.0,41.0,77.0,55.0,5.0,4.0,10.0,8.0,67.5,32.5,2299.0,opercularis
047LBB,0.011399999999999993,0.05510000000000001,0.4568,0.6154,2.0,3.0,35.0,77.0,72.0,5.0,5.0,9.0,8.0,65.0,25.0,3501.0,opercularis
04EB,0.022,0.15510000000000002,0.2465,0.4924,1.0,3.0,22.0,76.0,53.0,5.0,4.0,10.0,8.0,78.33,16.67,3770.0,opercularis
05EB,0.0764,0.050199999999999995,0.2253,0.3094,2.0,3.0,22.0,76.0,53.0,5.0,4.0,10.0,9.0,75.0,18.33,3920.0,opercularis
06EB,0.08399999999999999,0.04530000000000001,0.2314,0.1996,1.0,0.0,20.0,77.0,73.0,5.0,5.0,9.0,7.0,67.5,32.5,3053.0,opercularis
07EB,-0.3128,-0.11649999999999999,-0.031299999999999994,0.2332,1.0,5.0,25.0,77.0,70.0,5.0,5.0,9.0,8.0,62.5,32.5,4245.0,opercularis
09EB,0.029400000000000003,0.007899999999999997,0.2222,0.308,2.0,3.0,34.0,77.0,70.0,5.0,5.0,9.0,7.0,70.0,21.67,3291.0,opercularis
010EB,0.08449999999999999,0.2976,0.1818,0.1583,2.0,3.0,35.0,77.0,72.0,5.0,5.0,9.0,8.0,58.33,35.0,3501.0,triangularis
011EB,-0.12060000000000001,0.0104,0.0929,0.159,1.0,0.0,33.0,77.0,65.0,5.0,4.0,8.0,6.0,98.33,1.67,439.0,triangularis
015EB,-0.1814,0.08,-0.0398,0.12090000000000001,2.0,0.0,22.0,74.0,60.0,5.0,5.0,10.0,10.0,53.33,36.67,2218.0,triangularis
016EB,-0.1328,-0.0465,0.0605,0.3048,2.0,2.0,20.0,77.0,71.0,5.0,4.0,9.0,8.0,60.0,42.0,3789.0,triangularis
017EB,-0.0419,0.0127,0.053399999999999996,0.3134,1.0,2.0,21.0,77.0,72.0,5.0,4.0,10.0,8.0,51.67,38.33,4481.0,triangularis
018EB,0.08800000000000001,0.0017000000000000001,0.1511,0.2273,1.0,3.0,22.0,71.0,68.0,5.0,5.0,10.0,10.0,83.33,15.0,2799.0,triangularis
01EB,0.2389,0.0421,0.33140000000000003,0.3211,2.0,1.0,36.0,77.0,60.0,5.0,4.0,8.0,7.0,65.0,13.33,1417.0,triangularis
